user_id, task, completion_time
107,length of cell phone by S211,484.0
107,width of leaf by s211,43.0
107,length of eyes,42.0
107,length of whole leaf,61.0
108,Length of cellphone (S212),39.0
108,Width of leaf blade by (S212),49.0
108,Length of boys eyes by (S212),21.0
108,Length of leaf blade by (S212),16.0
106,length of cell phone s210,30.0
106,length of leaf s210,38.0
106,length of boys eyes,16.0
106,length of leaf height s210,33.0
99,length of leaf,43.0
99,length of eyes,61.0
99,length of leaf blade,70.0
99,length of cell phone,109.0
44,length of cell phone S208,98.0
44,length of leaf blade s208,51.0
44,length of eyes S208,76.0
